vertex,color,duration,iteration
125,5,0.002,2052
125,5,0.002,1403
125,5,0.003,4496
125,5,0.01,8755
125,5,0.004,3512
250,8,0.066,47847
250,8,0.016,9458
250,8,0.108,77594
250,8,0.104,72817
250,8,0.062,43172
250,28,9.95,2536637
250,28,8.895,2319380
250,28,15.752,4201372
250,28,5.548,1463931
250,28,4.681,1189466
250,72,1.238,237116
250,72,0.942,175537
250,72,2.145,445137
250,72,1.591,331805
250,72,1.21,233137
500,12,233.61,TIME_OUT
500,12,48.578,18626226
500,12,121.423,48079772
500,12,29.703,11669149
500,12,47.74,20256281
500,12,91.225,36336207
500,12,227.717,TIME_OUT
500,12,92.014,37883876
500,12,113.975,48849413
500,12,83.328,33208385
500,12,308.450000,122383824
500,12,24.044000,9526119
500,12,229.203000,99984204
500,12,15.636000,5585741
500,12,15.642000,5585741
500,12,25.988000,10249197
500,12,25.096000,10111949
500,12,23.931000,8221619
500,12,68.422000,19947907
500,12,68.437000,19947907
500,12,80.091000,34046087
500,12,302.907000,125569864
500,12,368.823000,142963445
500,12,369.943000,142963445
500,12,369.938000,142963445
500,12,373.922000,142963445
500,12,273.452000,97506219
500,12,274.481000,97506219
500,12,277.118000,97506219
500,12,277.975000,97506219
500,12,292.479000,102388859
500,12,293.407000,102388859
500,12,294.067000,102388859
500,12,295.135000,102388859
