vertex,color,duration,iteration
125,5,0.002,2052
125,5,0.002,1403
125,5,0.003,4496
125,5,0.01,8755
125,5,0.004,3512
250,8,0.066,47847
250,8,0.016,9458
250,8,0.108,77594
250,8,0.104,72817
250,8,0.062,43172
250,28,9.95,2536637
250,28,8.895,2319380
250,28,15.752,4201372
250,28,5.548,1463931
250,28,4.681,1189466
250,72,1.238,237116
250,72,0.942,175537
250,72,2.145,445137
250,72,1.591,331805
250,72,1.21,233137
500,12,233.61,TIME_OUT
500,12,48.578,18626226
500,12,121.423,48079772
500,12,29.703,11669149
500,12,47.74,20256281
500,12,91.225,36336207
500,12,227.717,TIME_OUT
500,12,92.014,37883876
500,12,113.975,48849413
500,12,83.328,33208385
